Date,From,Subject
"Thu, 29 Feb 2024 00:50:40 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,"=?UTF-8?Q?=C2=ABIngeniero_de_datos=C2=BB:_Ingeniero_de?=
 =?UTF-8?Q?_datos_financieros_-_Baufest_y_m=C3=A1s?="
"Wed, 28 Feb 2024 15:35:57 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?wqFQcmVww6FyYXRlIHBhcmEgdW5vcyBkZXNjdWVudG9zIGluY3I=?=
	=?UTF-8?B?ZcOtYmxlcyEgwqFFcyBob3JhIGRlIG1lam9yYXIgdHUgYXJtYXJpbyE=?="
"Wed, 28 Feb 2024 15:52:31 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,CONVOCATORIA DE TRABAJO - CONTABILIDAD
"Wed, 28 Feb 2024 15:47:34 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?B?Q09OVk9DQVRPUklBIERFIFBSw4FDVElDQVMgLSBJTkcuIE1FQ8OBTklDQSwgSU5HLiBFTA==?=
	=?UTF-8?B?w4lDVFJJQ0E=?="
"Wed, 28 Feb 2024 15:39:01 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_TRABAJO_Y_PR=C3=81CTICAS_=2D_ING=2E_SISTEMAS?=
	=?UTF-8?Q?=2C_ING=2E_INDUSTRIAL=2C_ADMINISTRACI=C3=93N=2C_ECONOM=C3=8DA?="
"Wed, 28 Feb 2024 12:22:56 -0800",=?UTF-8?B?TGlua2VkSW4=?= <linkedin@e.linkedin.com>,"=?UTF-8?B?R0FCUklFTEEgQU5HRUwsIGhhcyBhw7FhZGlkbyBhIDUgY29udGE=?=
	=?UTF-8?B?Y3Rvcy4gwqFCdWVuIHRyYWJham8h?="
"Wed, 28 Feb 2024 12:34:32 -0600","=?UTF-8?Q?Banco_Falabella_Per=C3=BA?=
 <contacto@pe.bancofalabella.com>",=?UTF-8?B?wqFHYW5hIHMvNDAgU0lOIFNPUlRFT1MhIPCfpJHwn5K4?=
"Wed, 28 Feb 2024 18:18:35 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,"=?UTF-8?Q?Podr=C3=ADas_encajar_bien_en_el_puesto_de_Asistente_de_Inge?=
 =?UTF-8?Q?niero_de_Proyecto_en_AFRY_:_En_busca_activa_de_personal?="
28 Feb 2024 13:12:04 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+SviBBIEJpZ0Zsb2F0IExpYnJhcnkgaW4gQyMgLSBUaGUg?=
 =?utf-8?B?RGFpbHkgQnVpbGQ=?="
"Wed, 28 Feb 2024 16:12:27 +0000",WP User Frontend <hello@wedevs.com>,Less than 22 hours remaining!
"Wed, 28 Feb 2024 10:33:25 -0500",Daniel Alexis Gutierrez Pachas <dgutierrezp@ucsp.edu.pe>,[spc-l] Curso Virtual - Python para Data Science e Inteligencia Artificial
"Wed, 28 Feb 2024 12:41:48 GMT","""Elsevier Health"" <promotion@health.email.elsevierhealth.com>","=?windows-1252?Q?Acabamos_de_publicar_t=EDtulos_de_su_inter=E9s.?=
 =?windows-1252?Q?_Ver_Novedades?="
"Wed, 28 Feb 2024 12:20:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"=?UTF-8?B?RG9u4oCZdA==?= Use`For` in Python Anymore | Miner Of Ideas
 in Python in Plain English"
28 Feb 2024 06:47:03 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIEdpdEh1YiBDb3BpbG90IEVudGVycHJpc2Ug?=
 =?utf-8?B?aXMgbm93IGdlbmVyYWxseSBhdmFpbGFibGUgLSBUaGUgRGFpbHkgSW5z?=
 =?utf-8?B?aWRlcg==?="
"Wed, 28 Feb 2024 09:24:08 +0000",Mentioned by Mehari Hiben <premium@academia-mail.com>,"=?UTF-8?Q?50%_Off,_2_days_only_-_Are_you_the_=E2=80=9CG.A.C.?=
 =?UTF-8?Q?_Perez=E2=80=9D_cited_in_Multidisciplinary_papers=3F?="
"Wed, 28 Feb 2024 06:42:38 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,=?UTF-8?Q?1_empleo_nuevo_para_=C2=ABasistente_analista_de_datos=C2=BB?=
"Tue, 27 Feb 2024 23:21:19 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ING=2E_INDUSTRIAL=2C_ADMINI?=
	=?UTF-8?Q?STRACI=C3=93N?="
"Tue, 27 Feb 2024 23:18:38 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ECONOM=C3=8DA?=
"Tue, 27 Feb 2024 23:17:13 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_PSICOLOG=C3=8DA?=
"Tue, 27 Feb 2024 23:15:04 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_DERECHO?=
"Tue, 27 Feb 2024 23:02:06 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_EDUCACI=C3=93N=2C_LITERATURA_?=
	=?UTF-8?Q?Y_LING=C3=9C=C3=8DSTICA?="
"Tue, 27 Feb 2024 22:59:24 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_CONTABILIDAD?=
"Tue, 27 Feb 2024 22:57:20 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?Invitaci=C3=B3n_a_participar_y_formar_el_=22Cuerpo_de_J=C3=B3v?=
	=?UTF-8?Q?enes_Brigadistas_Voluntarios_de_Primera_Respuesta_Allin_Wayq?=
	=?UTF-8?Q?=E2=80=99e=22?="
"Wed, 28 Feb 2024 02:56:45 +0000 (UTC)",Equifax Careers <careers@equifax.com>,Thank you for applying to Equifax!
"Wed, 28 Feb 2024 02:21:24 +0000","""Indeed"" <alert@indeed.com>",Se ha activado tu alerta para empleos de data engineer en Arequipa
"Wed, 28 Feb 2024 02:18:37 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"GABRIELA ANGEL, your application was sent to AFP Integra"
"Wed, 28 Feb 2024 00:58:29 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"GABRIELA ANGEL, your application was sent to NTT DATA Europe &
 Latam"
"Wed, 28 Feb 2024 00:44:38 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,"=?UTF-8?Q?=C2=ABIngeniero_de_datos=C2=BB:_Ingeniero_d?=
 =?UTF-8?Q?e_Datos_ETL_(AWS)_-_SEVENTEC_y_m=C3=A1s?="
"Tue, 27 Feb 2024 23:25:33 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_a=C3=B1ade_a_Julio_E?=
 =?UTF-8?Q?nrique_Yauri_Ituccayasi_a_tu_red?="
"Tue, 27 Feb 2024 22:44:22 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"GABRIELA ANGEL, your application was sent to Grupo Centenario"
"Tue, 27 Feb 2024 22:27:18 +0000 (UTC)",LinkedIn <security-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_se_ha_restablecido_tu_contrase=C3=B1a?="
"Tue, 27 Feb 2024 22:25:47 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Tue, 27 Feb 2024 22:24:32 +0000 (UTC)",LinkedIn <security-noreply@linkedin.com>,"GABRIELA ANGEL, este es tu PIN 596303"
"Tue, 27 Feb 2024 17:17:09 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,=?UTF-8?B?8J+nviBCb2xldMOtbiAiQWN0dWFsaWRhZCBBZ3VzdGluYSJfMDUx?=
"Tue, 27 Feb 2024 16:31:35 -0500",OFICINA UNIVERSITARIA DE RESPONSABILIDAD SOCIAL <ouresponsabilidadsocial@unsa.edu.pe>,"=?UTF-8?Q?D=C3=ADa_de_la_Lucha_contra_el_Hostigamiento_Sexual_Labo?=
	=?UTF-8?Q?ral?="
"Tue, 27 Feb 2024 16:06:56 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ADMINISTRACI=C3=93N=2C_GESTI?=
	=?UTF-8?Q?=C3=93N=2C_CONTABILIDAD=2C_ING=2E_INDUSTRIAL?="
"Tue, 27 Feb 2024 19:14:25 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,Nuevos empleos similares a Analista de Datos en Vooxell
"Tue, 27 Feb 2024 18:55:12 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_solicita_ahora_el_empleo_de_=C2=ABAnali?=
 =?UTF-8?Q?sta_de_Inteligencia_Comercial_en_Grupo_Centenario=C2=BB?="
"Tue, 27 Feb 2024 18:04:07 +0000",ResearchGate <no-reply@researchgatemail.net>,We've updated our Terms of Service and Privacy Policy
27 Feb 2024 12:59:29 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+SviBSZWZsZWN0aW9uIGluIEMjOiA0IENvZGUgU2ltcGxl?=
 =?utf-8?B?IEJ1dCBQb3dlcmZ1bCBDb2RlIEV4YW1wbGVzIC0gVGhlIERhaWx5IEJ1?=
 =?utf-8?B?aWxk?="
"Tue, 27 Feb 2024 09:32:55 -0500","""Alonso Caballero Quezada / ReYDeS"" <reydes@gmail.com>",=?UTF-8?Q?=5Bspc=2Dl=5D_Webinar_Gratuito=3A_An=C3=A1lisis_Forense_a_Linux?=
"Tue, 27 Feb 2024 14:39:59 +0000",WP User Frontend <hello@wedevs.com>,48-hour sale | Up to 35% off =?utf-8?b?4pqh77iP?=
"Tue, 27 Feb 2024 14:20:14 +0000 (UTC)",GitHub <noreply@github.com>,[GitHub] Your Dependabot alerts for the week of Feb 20 - Feb 27
"Tue, 27 Feb 2024 13:15:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"=?UTF-8?B?UnVzdOKAiuKAlOKAig==?= A New Titan in Data Science |
 Jorgecardete in The Deep Hub"
27 Feb 2024 06:57:25 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIFdpbmRvd3Mgc2VjdXJpdHkgdXBkYXRlcyBj?=
 =?utf-8?B?b3VsZCBjb21lIHdpdGggZmV3ZXIgcmVib290cyBiZWdpbm5pbmcgbGF0?=
 =?utf-8?B?ZXIgdGhpcyB5ZWFyIC0gVGhlIERhaWx5IEluc2lkZXI=?="
"Tue, 27 Feb 2024 02:58:21 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?Tm92ZWRhZGVzIFByaW1hdmVyYSB8IETDrWEgZW4gZWwgQ2FtcG8=?=
	=?UTF-8?B?8J+Mtw==?="
"Tue, 27 Feb 2024 06:54:50 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,=?UTF-8?Q?4_empleos_nuevos_para_=C2=ABasistente_analista_de_datos=C2=BB?=
"Tue, 27 Feb 2024 04:12:28 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"GABRIELA ANGEL, your application was sent to Bluetab, an IBM
 Company"
"Tue, 27 Feb 2024 00:59:59 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,"=?UTF-8?Q?=C2=ABIngeniero_de_datos=C2=BB:_INGENIERO?=
 =?UTF-8?Q?_DE_DATOS_-_LATAM_Airlines_y_m=C3=A1s?="
"Tue, 27 Feb 2024 00:27:50 +0000",UNIVERSlDAD NACIONAL DE INGENIERIA <admision@institutoilen.com>,"CONTAMOS CON 10 NUEVOS PROGRAMAS DE =?utf-8?Q?ESPECIALIZAC?=
 =?utf-8?Q?I=C3=93N?= QUE VALEN CON ALTA DEMANDA LABORAL"
"Mon, 26 Feb 2024 23:02:28 +0000",W3Schools <info@w3schools.com>,From courses to careers
"Mon, 26 Feb 2024 15:56:01 -0500",EVENTOS UNSA <eventos@unsa.edu.pe>,"=?UTF-8?Q?=F0=9F=93=9C_Frase_de_la_Semana=3A_Recuerda_que_cada_d=C3=ADa_tien?=
	=?UTF-8?Q?es_dos_superpoderes=3A_Tu_mente_y_tu_actitud?="
"Mon, 26 Feb 2024 19:26:36 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,"=?UTF-8?Q?Podr=C3=ADas_encajar_bien_en_el_puesto_de_Analista_de_Dat?=
 =?UTF-8?Q?os_en_Minera_Las_Bambas_:_En_busca_activa_de_personal?="
26 Feb 2024 12:57:21 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+SviBFZGl0b3IgZm9yIEZvbGRlciBNZXRhZGF0YSBpbiBD?=
 =?utf-8?B?IyAtIFRoZSBEYWlseSBCdWlsZA==?="
"Mon, 26 Feb 2024 17:54:08 +0000 (UTC)",LinkedIn <notifications-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL,_tus_publicaciones_obtu?=
 =?UTF-8?Q?vieron_27=C2=A0impresiones_la_semana_pasada.?="
"Mon, 26 Feb 2024 16:51:32 +0000 (UTC)",LinkedIn <jobs-noreply@linkedin.com>,"GABRIELA ANGEL, your application was sent to Indra"
"Mon, 26 Feb 2024 11:43:14 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?INVITACI=C3=93N_AL_TALLER_GRATUITO_TITULADO_=E2=80=9CTendencia?=
	=?UTF-8?Q?_en_temas_de_investigaci=C3=B3n_en_Ciencias_Sociales=2C_empresaria?=
	=?UTF-8?Q?les_e_Ingenier=C3=ADas=E2=80=9D?="
"Mon, 26 Feb 2024 16:29:21 +0000",Amazon Web Services <aws-marketing-email-replies@amazon.com>,"=?UTF-8?Q?Reg=C3=ADstrese_a_las_sesiones_para?=
 =?UTF-8?Q?_l=C3=ADderes_de_TI_en_AWS_Innovate?="
"Mon, 26 Feb 2024 13:30:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"Coding was Hard Until I Learned These 2 Things! | Natassha Selvaraj
 in Towards Data Science"
26 Feb 2024 06:50:54 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIFdpbkZvcm1zIGluIGEgNjQtQml0IHdvcmxk?=
 =?utf-8?B?IOKAkyBvdXIgc3RyYXRlZ3kgZ29pbmcgZm9yd2FyZCAtIFRoZSBEYWls?=
 =?utf-8?B?eSBJbnNpZGVy?="
"Mon, 26 Feb 2024 10:49:48 +0000",Andrew Zayine <scholarshipchile@gmail.com>,[spc-l] DFIR Stream release schedule announced
"Mon, 26 Feb 2024 08:29:49 +0000 (UTC)",SHEIN <shein@news.emailmarket.shein.com>,=?UTF-8?Q?Echa_un_vistazo_a_lo_que_hemos_preparado_para_ti...=F0=9F=91=80?=
"Mon, 26 Feb 2024 08:14:51 +0000",Mentioned by Mehari Hiben <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CG.A.C._Perez=E2=80=9D:_1_menci=C3=B3n_en_un?=
 =?UTF-8?Q?_art=C3=ADculo_sobre_Multidisciplinary_recientemente_descubiertos?=
 =?UTF-8?Q?_por_Academia?="
"Mon, 26 Feb 2024 06:01:02 +0000 (UTC)",Alertas de empleo de LinkedIn <jobalerts-noreply@linkedin.com>,"=?UTF-8?Q?GABRIELA_ANGEL:_se_ha_creado_tu_alerta_de_empleo_par?=
 =?UTF-8?Q?a_=C2=ABAnalista_de_inteligencia=C2=BB_en_San_Borja,_Lima,_Peru?="
"Sun, 25 Feb 2024 19:03:54 -0800",Google Location Sharing <noreply-location-sharing@google.com>,"=?UTF-8?Q?Est=C3=A1s_compartiendo_tu_ubicaci=C3=B3n_en_tiempo_real_con?=
	=?UTF-8?Q?_ADRIAN_ROLANDO_BEDREGAL_VENTO_y_otra_persona_m=C3=A1s?="
"Sun, 25 Feb 2024 21:24:05 GMT",Google <no-reply@accounts.google.com>,Alerta de seguridad
"Sun, 25 Feb 2024 09:10:40 -0500",Gerardo Tataje <gerardotataje@gmail.com>,[spc-l] Curso AZ-204: Developing Solutions for Microsoft Azure
"Sun, 25 Feb 2024 06:17:44 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?QWR2ZXJ0ZW5jaWE6IMKhQXJ0w61jdWxvcyBzdXBlcnBvcHVsYXI=?=
	=?UTF-8?B?ZXMh?="
"Sun, 25 Feb 2024 13:05:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,My data scientist interview experience at Visa | Hena Kasawatia
"Sun, 25 Feb 2024 03:31:53 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?VGUgb2ZyZWNlbW9zIHVuIEdSQU4gZGVzY3VlbnRvIHBhcmEgcGE=?=
	=?UTF-8?B?c2FyIGVsIGZpbmRl8J+YjQ==?="
"Sat, 24 Feb 2024 06:16:33 -0800",=?UTF-8?B?U0hFSU4=?= <shein@market.sheinmail.com>,"=?UTF-8?B?Q3Vww7NuIGNvbiAxNSUgZGUgZHRvLiBkZXNwdcOpcyBkZSB0dXM=?=
	=?UTF-8?B?IGNvbXByYXPwn5K4?="
"Sat, 24 Feb 2024 13:05:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"SQL Joins: Inner, Outer, Left, and Right Joins | SQL Fundamentals in
 DevOps.dev"
"Sat, 24 Feb 2024 07:01:24 +0000",Mentioned by Mehari Hiben <premium@academia-mail.com>,"=?UTF-8?Q?=E2=80=9CG.A.C._Perez=E2=80=9D:_1_menci=C3=B3n_en_un?=
 =?UTF-8?Q?_art=C3=ADculo_sobre_Multidisciplinary_recientemente_descubiertos?=
 =?UTF-8?Q?_por_Academia?="
"Sat, 24 Feb 2024 00:18:33 +0000 (UTC)",LinkedIn <messages-noreply@linkedin.com>,=?UTF-8?Q?Se_est=C3=A1n_fijando_en_ti_en_LinkedIn?=
"Fri, 23 Feb 2024 20:13:18 +0000 (UTC)",Medium <hello@medium.com>,The Edition: Are you measuring the right metrics of success?
"Fri, 23 Feb 2024 18:37:43 +0000 (UTC)",LinkedIn <jobs-listings@linkedin.com>,"=?UTF-8?Q?Podr=C3=ADas_encajar_bien_en_el_puesto_de_DataAnaly?=
 =?UTF-8?Q?st_en_Encora_Inc._:_En_busca_activa_de_personal?="
23 Feb 2024 12:55:09 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+SviBOTDJTUUwgd2l0aCBMYW5nQ2hhaW4gYW5kIEF6dXJl?=
 =?utf-8?B?IFNRTCBEYXRhYmFzZSAtIFRoZSBEYWlseSBCdWlsZA==?="
"Fri, 23 Feb 2024 12:37:12 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ECONOM=C3=8DA=2C_ADMINISTRACI?=
	=?UTF-8?Q?=C3=93N=2C_RELACIONES_INDUSTRIALES?="
"Fri, 23 Feb 2024 12:32:37 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_TRABAJO_=2D_ING=2E_MEC=C3=81NICA?=
"Fri, 23 Feb 2024 12:27:44 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_LABORAL_=2D_ING=2E_DE_TELECOMUNICACIONES=2C_I?=
	=?UTF-8?Q?NG=2E_SISTEMAS=2C_ING=2E_ELECTR=C3=93NICA=2C_CS=2E_DE_LA_COMPUTACI=C3=93N?="
"Fri, 23 Feb 2024 12:23:37 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_EDUCACI=C3=93N=2C_LITERATURA_?=
	=?UTF-8?Q?Y_LING=C3=9C=C3=8DSTICA?="
"Fri, 23 Feb 2024 12:19:27 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ING=2E_MEC=C3=81NICA=2C_ING=2E_EL?=
	=?UTF-8?Q?=C3=89CTRICA=2C_ING=2E_ELECTR=C3=93NICA=2C_ING=2E_DE_TELECOMUNICACIONES?="
"Fri, 23 Feb 2024 12:06:24 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_PR=C3=81CTICAS_=2D_MARKETING=2E_CS=2E_DE_LA_COMUN?=
	=?UTF-8?Q?ICACI=C3=93N?="
"Fri, 23 Feb 2024 12:02:43 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,"=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_EDUCACI=C3=93N=2C_LITERATURA_?=
	=?UTF-8?Q?Y_LING=C3=9C=C3=8DSTICA?="
"Fri, 23 Feb 2024 11:57:08 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_CONTABILIDAD?=
"Fri, 23 Feb 2024 11:55:19 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_PR=C3=81CTICAS_=2D_ING=2E_INDUSTRIAL?=
"Fri, 23 Feb 2024 11:43:32 -0500",OFICINA DE SEGUIMIENTO DE EGRESADOS <dude_ose@unsa.edu.pe>,=?UTF-8?Q?CONVOCATORIA_DE_TRABAJO_=2D_ADMINISTRACI=C3=93N=2C_GESTI=C3=93N?=
"Fri, 23 Feb 2024 13:39:04 +0000","""BLACKBOX from BLACKBOX"" <team@blackbox.chat>",Guess Who Ranked #1 Github Integration?
"Fri, 23 Feb 2024 12:40:00 +0000 (UTC)",Medium Daily Digest <noreply@medium.com>,"Using Bayesian Modeling to Predict The Champions League | Pol Marin
 in Towards Data Science"
23 Feb 2024 06:52:12 -0500,"""CodeProject"" <mailout@maillist.codeproject.com>","=?utf-8?B?8J+klvCfk7AgIEdpdEh1YiBDb3BpbG90IG1ha2VzIGluc2Vj?=
 =?utf-8?B?dXJlIGNvZGUgZXZlbiBsZXNzIHNlY3VyZSwgU255ayBzYXlzIC0gVGhl?=
 =?utf-8?B?IERhaWx5IEluc2lkZXI=?="
